lat,lon,day,month,year
60.4,-172.7,13,8,1973
60.403333,-169.83,30,5,1977
60.403333,-168.83,30,5,1977
60.403333,-169.83,30,5,1977
60.44,-168.93,29,5,1977
60.441667,-168.93,29,5,1977
60.46,-167.35,30,5,1968
60.466667,-167.35,30,5,1968
60.6,-174.62,26,5,1977
60.6,-174.62,26,5,1977
60.6,-174.62,26,5,1977
60.6,-174.62,26,5,1977
60.605,-174.625,26,5,1977
60.605,-174.625,26,5,1977
60.605,-174.625,26,5,1977
60.605,-174.625,26,5,1977
60.61,-165.25,1,6,1973
60.61,-165.25,5,6,1973
60.616667,-165.25,1,6,1973
60.616667,-165.25,5,6,1973
60.94,-170.8,4,6,1977
60.943333,-170.805,4,6,1977
61.076333,-168.138333,15,4,1979
61.076333,-168.138333,15,4,1979
61.46,-176.02,4,5,1978
61.46,-176.028333,4,5,1978
61.491947,-165.933334,24,1,2009
61.491947,-165.933334,24,1,2009
61.491947,-165.933334,19,10,2008
61.491947,-165.933334,,,
61.491947,-165.933334,,,
61.491947,-165.933334,30,4,2003
61.491947,-165.933334,8,5,2006
61.491947,-165.933334,24,3,2006
61.491947,-165.933334,21,9,2004
61.5,-166,19,10,2008
61.5,-166,24,1,2009
61.5,-166,24,1,2009
61.5,-166,,,
61.5,-166,,,
61.5,-166,30,4,2003
61.5,-166,8,5,2006
61.5,-166,24,3,2006
61.5,-166,21,9,2004
61.520038,-166.139352,26,10,2012
61.520038,-166.139352,30,5,2011
61.53,-166.09,1,5,1979
61.53,-166.09,18,4,1979
61.53,-166.09,26,1,1979
61.53,-166.09,26,4,1979
61.53,-166.09,30,1,1979
61.53,-166.09,1,5,1979
61.53,-166.09,26,4,1979
61.53,-166.09,20,4,1978
61.53,-166.09,30,1,1979
61.53,-166.09,22,1,1979
61.53,-166.09,6,4,1979
61.53,-166.09,6,5,1978
61.53,-166.09,18,4,1979
61.53,-166.09,5,4,1979
61.53,-166.09,30,1,1979
61.53,-166.09,6,5,1978
61.53,-166.09,3,4,1978
61.53,-166.09,6,5,1978
61.53,-166.09,22,1,1979
61.53,-166.09,16,2,1978
61.53,-166.09,2,2,1978
61.53,-166.09,26,1,1978
61.53,-166.09,20,4,1978
61.53,-166.09,25,1,1978
61.53,-166.09,25,1,1978
61.53,-166.09,26,1,1978
61.53,-166.09,6,5,1978
61.53,-166.09,4,5,1978
61.53,-166.09,4,5,1978
61.53,-166.09,25,1,1978
61.53,-166.09,4,5,1978
61.53,-166.09,29,4,1978
61.53,-166.09,25,1,1978
61.53,-166.09,10,5,1978
61.53,-166.09,4,5,1978
61.53,-166.09,20,4,1978
61.53,-166.09,19,5,1975
61.53,-166.09,26,4,1979
61.53,-166.09,6,11,1973
61.53,-166.09,25,10,1973
61.53,-166.09,15,10,1973
61.53,-166.09,28,10,1973
61.53,-166.09,31,10,1973
61.53,-166.09,5,11,1973
61.53,-166.09,26,10,1973
61.53,-166.09,1,11,1973
61.53,-166.09,15,10,1973
61.53,-166.09,25,10,1973
61.53,-166.09,3,10,1973
61.53,-166.09,16,10,1973
61.53,-166.09,15,10,1973
61.53,-166.09,25,10,1973
61.53,-166.09,22,8,1973
61.53,-166.09,28,3,1973
61.531111,-166.09667,5,10,1974
61.531111,-166.09667,2,10,1974
61.531111,-166.09667,23,10,1976
61.531111,-166.09667,2,10,1974
61.531111,-166.09667,29,9,1975
61.531111,-166.09667,5,10,1974
61.531111,-166.09667,2,10,1975
61.531111,-166.09667,13,9,1975
61.531111,-166.09667,25,10,1976
61.531111,-166.09667,4,9,1974
61.531111,-166.09667,25,10,1976
61.531111,-166.09667,22,11,1976
61.531111,-166.09667,17,8,1974
61.531111,-166.09667,19,8,1974
61.531111,-166.09667,2,10,1975
61.531111,-166.09667,19,10,1976
61.531111,-166.09667,22,10,1976
61.531111,-166.09667,16,7,1975
61.531111,-166.09667,13,9,1975
61.531111,-166.09667,1,5,1974
61.531111,-166.09667,28,9,1975
61.531111,-166.09667,10,1,1977
61.531111,-166.09667,2,10,1975
61.531111,-166.09667,19,10,1976
61.531111,-166.09667,19,5,1975
61.531111,-166.09667,24,1,1977
61.531111,-166.09667,25,10,1976
61.531111,-166.09667,27,6,1976
61.531111,-166.09667,25,4,1974
61.531111,-166.09667,,,
61.531111,-166.09667,28,5,1975
61.531111,-166.09667,19,10,1976
61.531111,-166.09667,11,6,1976
61.531111,-166.09667,6,6,1975
61.531111,-166.09667,19,8,1975
61.531111,-166.09667,28,5,1975
61.531111,-166.09667,16,7,1975
61.531111,-166.09667,19,10,1976
61.531111,-166.09667,19,10,1976
61.531111,-166.09667,16,10,1976
61.531111,-166.09667,1,10,1978
61.531111,-166.09667,6,6,1975
61.531111,-166.09667,24,9,1975
61.531111,-166.09667,6,6,1975
61.531111,-166.09667,13,3,1979
61.531111,-166.09667,27,5,1975
61.531111,-166.09667,1,10,1976
61.531111,-166.09667,14,10,1976
61.531111,-166.09667,19,10,1976
61.531111,-166.09667,6,10,1976
61.531111,-166.09667,19,10,1976
61.531111,-166.09667,19,10,1976
61.531111,-166.09667,30,5,1975
61.531111,-166.09667,1,5,1979
61.531111,-166.09667,6,9,1975
61.531111,-166.09667,9,10,1976
61.531111,-166.09667,26,5,1975
61.531111,-166.09667,23,5,1975
61.531111,-166.09667,15,10,1976
61.531111,-166.09667,27,5,1975
61.531111,-166.09667,31,5,1976
61.531111,-166.09667,6,4,1979
61.531111,-166.09667,30,5,1975
61.531111,-166.09667,10,4,1979
61.531111,-166.09667,2,9,1976
61.531111,-166.09667,11,10,1976
61.531111,-166.09667,31,5,1976
61.531111,-166.09667,15,5,1975
61.531111,-166.09667,26,5,1975
61.531111,-166.09667,26,5,1975
61.531111,-166.09667,12,4,1979
61.531111,-166.09667,27,3,1979
61.531111,-166.09667,20,5,1975
61.531111,-166.09667,23,5,1975
61.531111,-166.09667,18,4,1979
61.531111,-166.09667,2,6,1976
61.531111,-166.09667,24,5,1976
61.531111,-166.09667,23,5,1975
61.531111,-166.09667,26,5,1975
61.531111,-166.09667,14,3,1979
61.531111,-166.09667,22,1,1979
61.531111,-166.09667,1,11,1974
61.531111,-166.09667,31,5,1976
61.531111,-166.09667,31,5,1976
61.531111,-166.09667,23,5,1975
61.531111,-166.09667,27,5,1975
61.531111,-166.09667,19,5,1976
61.531111,-166.09667,3,11,1974
61.531111,-166.09667,27,5,1976
61.531111,-166.09667,27,5,1976
61.531111,-166.09667,28,7,1973
61.531111,-166.09667,14,5,1975
61.531111,-166.09667,23,5,1975
61.531111,-166.09667,1,9,1978
61.531111,-166.09667,14,10,1975
61.531111,-166.09667,31,10,1974
61.531111,-166.09667,18,10,1974
61.531111,-166.09667,4,8,1978
61.531111,-166.09667,28,9,1978
61.531111,-166.09667,19,5,1976
61.531111,-166.09667,16,12,1975
61.531111,-166.09667,28,10,1974
61.531111,-166.09667,31,10,1974
61.531111,-166.09667,28,10,1974
61.531111,-166.09667,27,10,1974
61.531111,-166.09667,5,10,1974
61.531111,-166.09667,,,
61.531111,-166.09667,28,9,1978
61.531111,-166.09667,5,9,1978
61.531111,-166.09667,26,5,1977
61.531111,-166.09667,18,10,1974
61.531111,-166.09667,26,4,1976
61.531111,-166.09667,3,10,1975
61.531111,-166.09667,8,10,1975
61.531111,-166.09667,21,5,1977
61.531111,-166.09667,31,10,1974
61.531111,-166.09667,31,10,1974
61.531111,-166.09667,14,10,1975
61.531111,-166.09667,10,10,1975
61.531111,-166.09667,4,6,1977
61.531111,-166.09667,10,10,1975
61.531111,-166.09667,14,10,1975
61.531111,-166.096667,16,10,1973
61.531111,-166.096667,26,10,1973
61.531111,-166.096667,28,10,1973
61.531111,-166.096667,1,11,1973
61.531111,-166.096667,28,3,1973
61.531111,-166.096667,15,10,1973
61.531111,-166.096667,5,11,1973
61.531111,-166.096667,15,10,1973
61.531111,-166.096667,15,10,1973
61.531111,-166.096667,3,10,1973
61.531111,-166.096667,6,11,1973
61.531111,-166.096667,25,10,1973
61.531111,-166.096667,31,10,1973
61.531111,-166.096667,22,8,1973
61.531111,-166.096667,25,10,1973
61.531111,-166.096667,25,10,1973
61.531944,-166.091667,22,1,1979
61.531944,-166.091667,25,1,1978
61.531944,-166.091667,26,4,1979
61.531944,-166.091667,4,5,1978
61.531944,-166.091667,30,1,1979
61.531944,-166.091667,6,5,1978
61.531944,-166.091667,29,4,1978
61.531944,-166.091667,30,1,1979
61.531944,-166.091667,25,1,1978
61.531944,-166.091667,1,5,1979
61.531944,-166.091667,20,4,1978
61.531944,-166.091667,6,5,1978
61.531944,-166.091667,18,4,1979
61.531944,-166.091667,30,1,1979
61.531944,-166.091667,1,5,1979
61.531944,-166.091667,16,2,1978
61.531944,-166.091667,6,5,1978
61.531944,-166.091667,20,4,1978
61.531944,-166.091667,18,4,1979
61.531944,-166.091667,26,4,1979
61.531944,-166.091667,2,2,1978
61.531944,-166.091667,20,4,1978
61.531944,-166.091667,6,4,1979
61.531944,-166.091667,26,1,1979
61.531944,-166.091667,10,5,1978
61.531944,-166.091667,26,1,1978
61.531944,-166.091667,3,4,1978
61.531944,-166.091667,4,5,1978
61.531944,-166.091667,5,4,1979
61.531944,-166.091667,22,1,1979
61.531944,-166.091667,6,5,1978
61.531944,-166.091667,26,1,1978
61.531944,-166.091667,25,1,1978
61.531944,-166.091667,4,5,1978
61.531944,-166.091667,25,1,1978
61.531944,-166.091667,4,5,1978
61.531944,-166.091667,19,5,1975
61.531944,-166.091667,26,4,1979
61.59,-166.09,13,12,1977
61.59,-166.09,8,9,1977
61.59,-166.09,14,6,1977
61.59,-166.09,5,6,1977
61.59,-166.09,2,10,1977
61.59,-166.09,30,5,1977
61.59,-166.09,4,10,1977
61.59,-166.09,30,5,1977
61.59,-166.09,1,6,1977
61.59,-166.09,2,6,1977
61.59,-166.09,30,5,1977
61.59,-166.09,5,6,1977
61.59,-166.09,4,10,1977
61.59,-166.09,29,8,1977
61.59,-166.09,28,5,1977
61.59,-166.09,2,6,1977
61.59,-166.09,13,12,1977
61.59,-166.09,21,9,1977
61.59,-166.09,27,8,1977
61.59,-166.09,27,5,1977
61.59,-166.09,29,8,1977
61.59,-166.09,27,5,1977
61.59,-166.09,1,6,1977
61.59,-166.09,26,5,1977
61.59,-166.09,27,5,1977
61.59,-166.09,14,6,1977
61.59,-166.09,2,6,1977
61.59,-166.09,30,5,1977
61.59,-166.09,30,5,1977
61.59,-166.09,2,6,1977
61.59,-166.09,20,10,1977
61.59,-166.09,11,9,1977
61.59,-166.09,13,12,1977
61.59,-166.09,10,1,1977
61.59,-166.09,26,5,1977
61.59,-166.09,28,5,1977
61.59,-166.09,31,8,1977
61.59,-166.09,27,5,1977
61.59,-166.09,24,1,1977
61.59,-166.09,26,5,1977
61.59,-166.09,26,5,1977
61.59,-166.09,4,6,1977
61.59,-166.09,31,8,1977
61.59,-166.09,28,5,1977
61.59,-166.09,2,6,1977
61.59,-166.09,26,5,1977
61.59,-166.09,26,5,1977
61.59,-166.09,26,5,1977
61.59,-166.09,26,5,1977
61.59,-166.09,28,5,1977
61.59,-166.09,27,5,1977
61.59,-166.09,13,12,1977
61.59,-166.09,29,8,1977
61.59,-166.09,13,12,1977
61.598611,-166.091667,29,8,1977
61.598611,-166.091667,13,12,1977
61.598611,-166.091667,29,8,1977
61.598611,-166.091667,13,12,1977
61.598611,-166.091667,27,8,1977
61.598611,-166.091667,2,6,1977
61.598611,-166.091667,2,10,1977
61.598611,-166.091667,5,6,1977
61.598611,-166.091667,14,6,1977
61.598611,-166.091667,13,12,1977
61.598611,-166.091667,2,6,1977
61.598611,-166.091667,5,6,1977
61.598611,-166.091667,30,5,1977
61.598611,-166.091667,14,6,1977
61.598611,-166.091667,2,6,1977
61.598611,-166.091667,20,10,1977
61.598611,-166.091667,21,9,1977
61.598611,-166.091667,4,6,1977
61.598611,-166.091667,4,10,1977
61.598611,-166.091667,30,5,1977
61.598611,-166.091667,2,6,1977
61.598611,-166.091667,11,9,1977
61.598611,-166.091667,24,1,1977
61.598611,-166.091667,1,6,1977
61.598611,-166.091667,30,5,1977
61.598611,-166.091667,4,10,1977
61.598611,-166.091667,1,6,1977
61.598611,-166.091667,8,9,1977
61.598611,-166.091667,27,5,1977
61.598611,-166.091667,28,5,1977
61.598611,-166.091667,30,5,1977
61.598611,-166.091667,2,6,1977
61.598611,-166.091667,26,5,1977
61.598611,-166.091667,28,5,1977
61.598611,-166.091667,31,8,1977
61.598611,-166.091667,27,5,1977
61.598611,-166.091667,28,5,1977
61.598611,-166.091667,30,5,1977
61.598611,-166.091667,26,5,1977
61.598611,-166.091667,27,5,1977
61.598611,-166.091667,31,8,1977
61.598611,-166.091667,28,5,1977
61.598611,-166.091667,26,5,1977
61.598611,-166.091667,26,5,1977
61.598611,-166.091667,26,5,1977
61.598611,-166.091667,26,5,1977
61.598611,-166.091667,27,5,1977
61.598611,-166.091667,26,5,1977
61.598611,-166.091667,26,5,1977
61.598611,-166.091667,27,5,1977
61.598611,-166.091667,10,1,1977
61.598611,-166.091667,13,12,1977
61.598611,-166.091667,13,12,1977
61.598611,-166.091667,29,8,1977
61.7,-175.6,6,5,1978
61.705,-175.6,6,5,1978
61.71,174.81,10,4,1985
61.718333,174.81,10,4,1985
61.75,-166,28,6,1976
61.75,-175.45,6,5,1978
61.75,-166,28,6,1976
61.75,-175.45,6,5,1978
61.76,-168.13,15,4,1979
61.76,-168.13,15,4,1979
61.763333,-168.138333,15,4,1979
61.763333,-168.138333,15,4,1979
61.844108,-165.581423,18,10,2016
61.87,-171.95,8,5,1978
61.878333,-171.955,8,5,1978
62.05,-168.13,26,5,1968
62.05,-168.133333,26,5,1968
62.25,-171.03,22,4,1979
62.25,-171.033333,22,4,1979
62.74,-169.71,2,6,1978
62.746667,-169.715,2,6,1978
62.83,-174.47,27,4,1979
62.833333,-174.478333,27,4,1979
63,-167,,,
63,-167,,,
63.25,-166.49,6,6,1978
63.258333,-166.493333,6,6,1978
63.27,-168,5,6,1978
63.27,-168,4,6,1978
63.275,-168.006667,5,6,1978
63.275,-168.006667,4,6,1978
63.3261,-170.0184,6,11,1964
63.3261,-170.0184,4,11,1964
63.43,-173.09,28,5,1978
63.43,-173.09,28,5,1978
63.43,-173.09,28,5,1978
63.43,-173.093333,28,5,1978
63.43,-173.093333,28,5,1978
63.43,-173.093333,28,5,1978
63.46,-171.8,16,5,1958
63.466667,-171.8,16,5,1958
63.478983,-163.037963,15,10,2015
63.51,-166.1,6,6,1978
63.51,-166.1,6,6,1978
63.51,-166.1,6,6,1978
63.511667,-166.101667,6,6,1978
63.511667,-166.101667,6,6,1978
63.511667,-166.101667,6,6,1978
63.52,-172.7,28,5,1978
63.525,-172.708333,28,5,1978
63.694167,-170.478889,26,11,2010
63.6942,-170.4789,7,6,1967
63.6942,-170.4789,3,6,1967
63.6942,-170.4789,5,6,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,7,6,1967
63.6942,-170.4789,6,6,1967
63.6942,-170.4789,28,5,1967
63.6942,-170.4789,7,6,1967
63.6942,-170.4789,2,6,1967
63.6942,-170.4789,2,6,1967
63.6942,-170.4789,2,6,1967
63.6942,-170.4789,7,6,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,7,6,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,6,6,1967
63.6942,-170.4789,2,6,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,2,6,1967
63.6942,-170.4789,2,6,1967
63.6942,-170.4789,3,6,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,2,6,1967
63.6942,-170.4789,28,5,1967
63.6942,-170.4789,2,6,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,22,5,1967
63.6942,-170.4789,28,5,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,28,5,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,9,2,1967
63.6942,-170.4789,1,1,1900
63.6942,-170.4789,27,5,1967
63.6942,-170.4789,21,5,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,22,5,1967
63.6942,-170.4789,18,5,1967
63.6942,-170.4789,22,5,1967
63.6942,-170.4789,18,5,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,18,5,1967
63.6942,-170.4789,17,5,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,22,5,1967
63.6942,-170.4789,19,5,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,21,5,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,16,5,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,18,5,1967
63.6942,-170.4789,30,4,1967
63.6942,-170.4789,16,5,1967
63.6942,-170.4789,29,5,1967
63.6942,-170.4789,13,5,1967
63.6942,-170.4789,14,5,1967
63.6942,-170.4789,16,5,1967
63.6942,-170.4789,15,5,1967
63.6942,-170.4789,14,5,1967
63.6942,-170.4789,18,5,1967
63.6942,-170.4789,15,5,1967
63.6942,-170.4789,16,5,1967
63.6942,-170.4789,15,5,1967
63.6942,-170.4789,14,5,1967
63.6942,-170.4789,15,5,1967
63.6942,-170.4789,14,5,1967
63.6942,-170.4789,16,5,1967
63.6942,-170.4789,9,5,1967
63.6942,-170.4789,17,5,1967
63.6942,-170.4789,12,5,1967
63.6942,-170.4789,9,5,1967
63.6942,-170.4789,19,5,1967
63.6942,-170.4789,13,5,1967
63.6942,-170.4789,13,5,1967
63.6942,-170.4789,30,4,1967
63.6942,-170.4789,12,5,1967
63.6942,-170.4789,30,4,1967
63.6942,-170.4789,12,6,1966
63.6942,-170.4789,9,6,1966
63.6942,-170.4789,13,6,1966
63.697157,-170.48167,,,
63.697157,-170.48167,28,2,1978
63.697157,-170.48167,9,6,1978
63.697157,-170.48167,1,1,1900
63.697157,-170.48167,,,
63.697157,-170.48167,7,10,1978
63.697157,-170.48167,29,5,1978
63.697157,-170.48167,28,5,1978
63.697157,-170.48167,11,6,1978
63.697157,-170.48167,28,5,1978
63.697157,-170.48167,,,
63.697157,-170.48167,28,5,1978
63.697157,-170.48167,11,6,1978
63.697157,-170.48167,,,
63.697157,-170.48167,10,2,1978
63.697157,-170.48167,11,6,1978
63.697157,-170.48167,27,12,1977
63.697157,-170.48167,30,5,1978
63.697157,-170.48167,,,
63.697157,-170.48167,11,6,1978
63.697157,-170.48167,9,2,1978
63.697157,-170.48167,28,5,1978
63.697157,-170.48167,23,10,1977
63.697157,-170.48167,30,5,1978
63.697157,-170.48167,11,6,1978
63.697157,-170.48167,28,5,1978
63.697157,-170.48167,15,10,1975
63.697157,-170.48167,21,5,1978
63.697157,-170.48167,28,5,1978
63.697157,-170.48167,,,
63.697157,-170.48167,28,5,1978
